dataset,suite,has_ood,n_train_eval,n_id_eval,n_ood_eval
cc18_1053,openml_cc18,False,7619,3266,0
cc18_1067,openml_cc18,False,1476,633,0
cc18_1068,openml_cc18,False,776,333,0
cc18_1461,openml_cc18,False,10000,10000,0
cc18_1486,openml_cc18,False,10000,10000,0
cc18_1489,openml_cc18,False,3782,1622,0
cc18_151,openml_cc18,False,10000,10000,0
cc18_1590,openml_cc18,False,10000,10000,0
cc18_31,openml_cc18,False,700,300,0
cc18_44,openml_cc18,False,3220,1381,0
ts_brfss_diabetes,tableshift,True,10000,10000,10000
ts_college_scorecard,tableshift,True,10000,10000,1352
ts_diabetes_readmission,tableshift,True,10000,4287,10000
acs_income_ca2pr,whyshift,True,10000,10000,9071
acs_income_ca2sd,whyshift,True,10000,10000,4899
acs_mobility_ca2sd,whyshift,True,10000,10000,1630
acs_pubcov_ca2sd,whyshift,True,10000,10000,2852
